,time_casa,time_visitante,totalgolsht,possebolacasaht,possebolavisitanteht,chutescasaht,chutesvisitanteht,chutesnogolcasaht,chutesnogolvisitanteht,chutesforagolcasaht,chutesforagolvisitanteht,chutesbloqueadoscasaht,chutesbloqueadosvisitanteht,cornercasaht,cornervisitanteht,chutesdentroareacasaht,chutesdentroareavisitanteht,chutesforaareacasaht,chutesforaareavisitanteht,defesasgoleirocasaht,defesasgoleirovisitanteht,passescasaht,passesvisitanteht,passescertoscasaht,passescertosvisitanteht,duelosganhoscasaht,duelosganhosvisitanteht,disputasaereasvencidascasaht,disputasaereasvencidasvisitanteht,PSH,PSD,PSA,vencedorft
1321,Man City,Everton,0,71,29,11,1,3,0,3,1,5,0,6,0,5,0,6,1,0,3,346,135,87,61,28,23,7,4,1.52,4.68,6.82,D
1322,Man United,Fulham,3,67,33,10,2,5,1,3,0,2,1,8,1,6,1,4,1,1,2,329,162,88,73,28,29,11,7,1.36,5.29,9.84,H
1323,Chelsea,Leicester,2,70,30,9,2,3,0,4,1,2,1,5,2,5,2,4,0,0,2,352,146,87,69,28,26,8,10,1.58,4.33,6.3,H
1324,Tottenham,Fulham,1,60,40,12,4,2,2,8,1,2,1,3,1,7,3,5,1,2,1,329,223,89,80,18,21,8,3,1.28,6.29,12.44,H
1325,Man United,West Brom,0,75,25,7,2,1,0,3,1,3,1,2,1,5,1,2,1,0,1,373,122,87,55,25,27,12,11,1.34,5.25,12.05,H
1326,Man City,Newcastle,1,81,19,12,1,5,1,6,0,1,0,10,0,8,1,4,0,1,4,402,90,92,54,38,19,11,7,1.14,10.21,22.56,H
1327,Leicester,Burnley,1,50,50,2,7,2,1,0,5,0,1,3,5,1,5,1,2,1,1,205,188,78,81,18,24,7,8,1.83,3.64,5.05,H
1328,Swansea,Watford,1,65,35,7,4,2,1,2,1,3,2,4,1,2,1,5,3,1,1,302,163,84,68,26,26,7,7,2.42,3.31,3.28,H
1329,Hull,Middlesbrough,5,44,56,8,12,3,4,3,4,2,4,4,3,7,7,1,5,2,0,196,243,76,77,19,40,10,24,2.08,3.32,4.2,H
1330,West Brom,Aston Villa,0,37,63,1,5,0,2,0,1,1,2,1,3,0,2,1,3,2,0,119,209,63,76,27,29,8,11,2.17,3.28,3.92,D
1331,Burnley,Fulham,3,54,46,8,3,1,1,4,2,3,0,0,1,3,3,5,0,0,0,272,223,72,73,37,32,16,24,2.39,3.26,3.36,H
1332,Swansea,Middlesbrough,0,58,42,7,3,1,0,4,1,2,2,3,2,3,2,4,1,0,1,252,193,85,70,24,28,9,6,1.98,3.43,4.47,D
1333,Burnley,Arsenal,0,45,55,4,9,1,0,2,7,1,2,5,3,3,3,1,6,0,1,204,259,81,80,35,27,15,12,5.89,4.47,1.6,A
1334,Arsenal,Man United,1,54,46,9,9,1,2,5,5,3,2,4,1,5,5,4,4,2,0,253,214,81,78,20,33,6,18,2.45,3.55,3.04,H
1335,Stoke,Bournemouth,1,45,55,3,4,2,2,1,1,0,1,1,2,2,2,1,2,1,1,166,205,72,81,26,31,8,8,2.26,3.43,3.49,A
1336,Man City,Leicester,3,72,28,10,4,3,3,3,1,4,0,7,1,8,3,2,1,2,1,301,116,87,64,24,20,6,5,1.25,7.0,13.0,H
1337,Man United,Watford,1,56,44,4,3,1,2,3,1,0,0,4,3,2,2,2,1,2,0,252,190,80,82,34,21,6,7,1.4,5.46,7.98,H
1338,Middlesbrough,Man City,1,33,67,7,5,1,0,5,5,1,0,2,2,4,3,3,2,0,0,149,307,75,87,20,23,6,7,11.39,5.93,1.29,D
1339,West Ham,Man United,2,55,45,5,4,1,0,3,1,1,3,3,2,3,2,2,2,0,0,269,217,85,86,25,19,5,9,4.53,3.78,1.87,H
1340,West Ham,Liverpool,1,29,71,6,11,2,3,4,7,0,1,2,4,5,7,1,4,2,2,131,322,70,88,27,23,9,7,5.62,4.2,1.65,A
1341,Arsenal,Hull,1,48,52,10,1,4,1,4,0,2,0,2,3,9,1,1,0,1,2,254,265,83,82,25,26,4,5,1.3,6.2,11.44,H
1342,Man United,Tottenham,0,46,54,2,10,1,4,0,3,1,3,2,3,0,5,2,5,4,1,227,260,71,78,23,20,6,7,2.23,3.38,3.62,H
1343,Watford,Bournemouth,1,52,48,10,3,3,1,2,2,5,0,1,2,4,1,6,2,0,3,216,193,78,76,25,29,11,9,2.42,3.32,3.27,D
1344,Swansea,Liverpool,1,37,63,6,4,3,0,3,1,0,3,1,4,4,3,2,1,0,2,185,311,75,84,29,25,9,9,8.44,4.92,1.43,A
1345,Man City,Man United,1,69,31,9,3,1,0,4,1,4,2,5,1,5,2,4,1,0,0,351,158,91,85,20,20,2,6,1.39,5.4,8.32,H
1346,Watford,Everton,2,41,59,8,4,2,3,4,1,2,0,4,3,5,2,4,2,2,2,176,252,73,79,29,24,14,8,3.47,3.41,2.28,D
1347,Hull,Liverpool,1,31,69,4,8,2,0,2,3,0,5,1,4,3,4,1,4,0,1,155,340,72,83,20,16,8,3,7.68,4.59,1.49,H
1348,Wolves,Crystal Palace,0,48,52,4,6,0,2,3,2,1,2,1,7,2,2,2,4,2,0,263,275,81,81,29,19,13,2,2.04,3.41,4.24,A
1349,Liverpool,Crystal Palace,2,69,31,5,3,1,2,1,1,3,0,2,1,2,2,3,1,1,0,331,139,85,64,21,40,2,9,1.5,4.91,6.63,A
1350,Leicester,Arsenal,1,42,58,13,6,6,4,4,1,3,1,5,4,5,6,8,0,4,5,182,257,78,81,29,25,8,6,3.75,3.9,2.01,H
