;HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date
111;Levadeiakos;Panionios;H;2.7;3.0;2.7;G1;2017-12-18
112;Panetolikos;AEK;A;5.75;3.5;1.64;G1;2018-01-06
113;Panionios;Kerkyra;H;1.6;3.79;5.5;G1;2018-01-06
114;PAOK;Levadeiakos;H;1.12;8.0;19.0;G1;2018-01-06
115;Giannina;Asteras Tripolis;D;2.39;3.0;3.2;G1;2018-01-07
116;Lamia;Xanthi;A;2.39;2.87;3.29;G1;2018-01-07
117;Larisa;Olympiakos;A;9.5;4.0;1.39;G1;2018-01-07
118;Panathinaikos;Platanias;H;1.36;4.5;9.0;G1;2018-01-07
119;Apollon;Atromitos;A;3.1;3.2;2.35;G1;2018-01-08
120;Apollon;Panionios;D;3.0;2.89;2.6;G1;2018-01-13
121;Levadeiakos;Panathinaikos;H;3.39;3.1;2.25;G1;2018-01-13
122;Xanthi;Platanias;H;1.44;4.0;8.5;G1;2018-01-13
123;AEK;Giannina;H;1.25;5.25;13.0;G1;2018-01-14
124;Asteras Tripolis;Larisa;H;1.75;3.29;5.25;G1;2018-01-14
125;Atromitos;Panetolikos;A;1.57;3.6;6.5;G1;2018-01-14
126;Kerkyra;PAOK;A;17.0;8.5;1.12;G1;2018-01-14
127;Olympiakos;Lamia;H;1.12;8.0;19.0;G1;2018-01-15
128;Larisa;AEK;D;7.0;3.75;1.53;G1;2018-01-20
129;Panathinaikos;Kerkyra;H;1.33;4.75;10.0;G1;2018-01-20
130;Platanias;Levadeiakos;H;2.1;3.0;4.0;G1;2018-01-20
131;Giannina;Atromitos;D;2.7;2.87;2.87;G1;2018-01-21
132;Lamia;Asteras Tripolis;H;2.75;2.79;2.89;G1;2018-01-21
133;Olympiakos;Xanthi;H;1.18;5.75;19.0;G1;2018-01-21
134;Panetolikos;Panionios;D;2.75;2.79;2.87;G1;2018-01-21
135;PAOK;Apollon;H;1.11;8.5;21.0;G1;2018-01-21
136;AEK;Lamia;H;1.12;8.5;17.0;G1;2018-01-27
137;Apollon;Panathinaikos;D;2.6;3.0;2.89;G1;2018-01-27
138;Kerkyra;Platanias;H;2.54;2.87;3.1;G1;2018-01-27
139;Asteras Tripolis;Olympiakos;D;6.0;4.0;1.53;G1;2018-01-28
140;Atromitos;Larisa;H;1.55;3.79;6.25;G1;2018-01-28
141;Panetolikos;PAOK;A;7.5;4.09;1.44;G1;2018-01-28
142;Panionios;Giannina;A;1.83;3.39;4.5;G1;2018-01-28
143;Xanthi;Levadeiakos;H;1.66;3.39;5.75;G1;2018-01-28
144;Asteras Tripolis;Xanthi;D;1.8;3.29;4.75;G1;2018-02-03
145;Larisa;Panionios;D;2.5;3.0;3.0;G1;2018-02-03
146;Panathinaikos;Panetolikos;D;1.53;3.75;7.0;G1;2018-02-03
147;Giannina;PAOK;A;7.0;4.0;1.5;G1;2018-02-04
148;Lamia;Atromitos;D;2.75;2.89;2.6;G1;2018-02-04
149;Levadeiakos;Kerkyra;H;1.8;3.25;5.0;G1;2018-02-04
150;Olympiakos;AEK;A;1.75;3.29;5.25;G1;2018-02-04
151;Platanias;Apollon;D;2.14;3.0;3.75;G1;2018-02-05
152;Giannina;Panathinaikos;H;2.25;3.0;3.0;G1;2018-02-10
153;Panionios;Lamia;H;1.64;3.29;5.0;G1;2018-02-10
154;Xanthi;Kerkyra;D;1.5;3.6;6.0;G1;2018-02-10
155;AEK;Asteras Tripolis;H;1.28;4.33;10.0;G1;2018-02-11
156;Apollon;Levadeiakos;D;1.95;3.1;3.5;G1;2018-02-11
157;Atromitos;Olympiakos;D;3.75;3.25;1.83;G1;2018-02-11
158;Panetolikos;Platanias;H;1.53;3.5;6.0;G1;2018-02-11
159;Asteras Tripolis;Atromitos;A;2.37;2.79;3.5;G1;2018-02-17
160;Kerkyra;Apollon;H;2.29;2.89;3.5;G1;2018-02-17
161;Lamia;PAOK;A;10.0;4.33;1.36;G1;2018-02-17
162;AEK;Xanthi;H;1.33;4.5;11.0;G1;2018-02-18
163;Levadeiakos;Panetolikos;A;2.6;2.79;3.1;G1;2018-02-18
164;Olympiakos;Panionios;H;1.22;5.5;15.0;G1;2018-02-18
165;Platanias;Giannina;A;2.45;2.89;3.25;G1;2018-02-18
166;Larisa;Panathinaikos;A;3.1;2.75;2.62;G1;2018-02-19
167;Giannina;Levadeiakos;D;1.5;3.75;8.0;G1;2018-02-24
168;Panathinaikos;Lamia;H;1.39;4.09;9.5;G1;2018-02-24
169;Panionios;Asteras Tripolis;D;1.95;3.2;4.2;G1;2018-02-24
170;Larisa;Platanias;H;1.83;3.25;4.75;G1;2018-02-25
171;Panetolikos;Kerkyra;H;1.53;3.6;7.5;G1;2018-02-25
172;PAOK;Olympiakos;A;1.7;3.39;5.5;G1;2018-02-25
173;Xanthi;Apollon;H;1.8;3.2;5.0;G1;2018-02-25
174;Atromitos;AEK;D;3.5;3.1;2.2;G1;2018-02-26
175;Atromitos;Xanthi;H;1.53;3.75;6.5;G1;2018-03-03
176;Kerkyra;Giannina;D;2.75;3.0;2.75;G1;2018-03-03
177;Platanias;Lamia;A;2.45;2.87;3.29;G1;2018-03-03
178;AEK;Panionios;H;1.3;4.5;11.0;G1;2018-03-04
179;Asteras Tripolis;PAOK;H;8.0;3.75;1.44;G1;2018-03-04
180;Levadeiakos;Larisa;H;2.62;2.87;2.87;G1;2018-03-04
181;Olympiakos;Panathinaikos;D;1.36;4.2;10.0;G1;2018-03-04
182;Apollon;Panetolikos;H;2.2;3.0;3.5;G1;2018-03-05
183;Larisa;Kerkyra;D;1.95;3.29;4.0;G1;2018-03-10
184;Panathinaikos;Asteras Tripolis;D;2.04;3.25;3.75;G1;2018-03-10
185;Panionios;Atromitos;D;2.89;3.0;2.6;G1;2018-03-10
186;Lamia;Levadeiakos;D;1.66;3.6;5.25;G1;2018-03-11
187;PAOK;AEK;A;1.64;3.75;5.25;G1;2018-03-11
188;Platanias;Olympiakos;A;10.0;6.0;1.25;G1;2018-03-11
189;Xanthi;Panetolikos;H;2.1;3.25;3.5;G1;2018-03-11
190;Atromitos;PAOK;A;5.0;3.5;1.72;G1;2018-03-31
191;Levadeiakos;Olympiakos;D;8.5;4.33;1.39;G1;2018-03-31
192;Panetolikos;Giannina;H;2.0;3.1;4.2;G1;2018-03-31
193;AEK;Panathinaikos;H;1.39;4.0;10.0;G1;2018-04-01
194;Apollon;Larisa;H;2.0;3.0;4.33;G1;2018-04-01
195;Kerkyra;Lamia;D;2.25;2.87;3.7;G1;2018-04-01
196;Panionios;Xanthi;D;2.0;3.0;4.33;G1;2018-04-01
197;Asteras Tripolis;Platanias;H;1.25;5.25;13.0;G1;2018-04-02
198;Giannina;Apollon;A;2.0;3.2;4.0;G1;2018-04-04
199;Lamia;Apollon;D;4.33;1.5;4.5;G1;2018-04-14
200;Levadeiakos;Asteras Tripolis;H;3.39;3.1;2.14;G1;2018-04-14
201;PAOK;Panionios;H;1.12;8.0;19.0;G1;2018-04-14
202;Larisa;Panetolikos;H;1.95;3.1;4.2;G1;2018-04-15
203;Panathinaikos;Atromitos;H;2.7;3.0;2.6;G1;2018-04-15
204;Platanias;AEK;A;17.0;9.0;1.08;G1;2018-04-15
205;Xanthi;Giannina;H;2.0;3.0;4.2;G1;2018-04-15
206;Olympiakos;Kerkyra;H;1.16;6.5;13.0;G1;2018-04-16
207;AEK;Levadeiakos;H;1.08;8.0;21.0;G1;2018-04-22
208;Apollon;Olympiakos;H;7.5;4.33;1.39;G1;2018-04-22
209;Atromitos;Platanias;H;1.12;7.0;15.0;G1;2018-04-22
210;Giannina;Larisa;D;1.6;3.6;5.25;G1;2018-04-22
211;Kerkyra;Asteras Tripolis;A;3.6;3.1;2.04;G1;2018-04-22
212;Panetolikos;Lamia;H;2.2;3.0;3.25;G1;2018-04-22
213;Panionios;Panathinaikos;A;2.25;3.2;3.0;G1;2018-04-22
214;PAOK;Xanthi;H;1.19;6.5;9.5;G1;2018-04-22
215;Asteras Tripolis;Apollon;H;1.16;7.0;15.0;G1;2018-04-29
216;Kerkyra;AEK;D;13.0;6.5;1.19;G1;2018-04-29
217;Levadeiakos;Atromitos;A;4.75;3.5;1.8;G1;2018-04-29
218;Olympiakos;Panetolikos;H;1.28;5.0;11.0;G1;2018-04-29
219;Panathinaikos;PAOK;A;6.0;3.75;1.57;G1;2018-04-29
220;Platanias;Panionios;A;6.0;4.0;1.55;G1;2018-04-29
221;Xanthi;Larisa;H;1.28;4.75;13.0;G1;2018-04-29
222;Apollon;AEK;A;5.0;3.6;1.61;G1;2018-05-05
223;Atromitos;Kerkyra;H;1.12;7.0;17.0;G1;2018-05-05
224;Larisa;Lamia;D;1.6;3.75;5.0;G1;2018-05-05
225;PAOK;Platanias;H;1.02;13.0;41.0;G1;2018-05-05
