HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date;home_elo;away_elo
Girona;Huesca;A;2.0;3.3;4.0;SP1;2013-02-09;1592.10290527;1510.06311035
Cordoba;Malaga;A;3.25;3.0;2.38;SP1;2014-10-18;1589.96569824;1737.01257324
Espanol;Valencia;H;3.25;3.2;2.37;SP1;2013-08-26;1712.11743164;1814.50146484
Real Madrid;Almeria;H;1.06;13.0;29.0;SP1;2015-04-29;2066.22338867;1644.80664062
Granada;Real Madrid;A;21.0;9.0;1.13;SP1;2017-05-06;1564.09020996;2058.60131836
Getafe;Espanol;H;2.2;3.2;3.5;SP1;2016-01-17;1666.6003418;1692.45336914
Sociedad;Atletico;A;2.9;3.3;2.38;SP1;2013-09-01;1823.78259277;2030.453125
Elche;Valladolid;D;2.25;3.25;3.25;SP1;2013-09-16;1619.50805664;1658.87744141
Sociedad;Girona;H;1.9;3.6;4.0;SP1;2018-04-08;1695.97717285;1700.46142578
Celta;Sociedad;D;2.3;3.3;3.1;SP1;2014-04-12;1683.13000488;1797.37805176
Atletico;Real Madrid;A;2.5;3.3;2.9;SP1;2016-11-19;2040.15039062;2040.15039062
Malaga;Getafe;H;1.57;3.75;6.5;SP1;2016-02-05;1721.95336914;1661.58312988
Vallecano;Villarreal;H;3.3;3.4;2.2;SP1;2015-02-15;1655.33703613;1820.03601074
Sevilla;Granada;H;1.17;8.0;15.0;SP1;2017-04-21;1820.13659668;1581.11450195
Levante;Barcelona;H;10.0;5.25;1.3;SP1;2018-05-13;1682.45373535;2033.70983887
Sociedad;Malaga;D;1.53;4.1;6.5;SP1;2017-05-14;1766.82922363;1719.8371582
Malaga;Getafe;H;1.75;3.6;5.0;SP1;2015-02-28;1752.65563965;1682.76586914
Ath Bilbao;Atletico;A;4.0;3.3;2.0;SP1;2016-04-20;1838.94445801;2056.89770508
Las Palmas;Sociedad;H;2.75;3.1;2.75;SP1;2015-11-06;1630.25268555;1716.02001953
Villarreal;Sociedad;H;1.91;3.5;4.0;SP1;2014-01-13;1741.48840332;1796.28808594
Levante;Villarreal;A;3.4;3.4;2.1;SP1;2014-08-24;1739.65234375;1782.9498291
