HomeTeam;AwayTeam;FTR;Div;Aposta;odd;resultado_aposta;retorno;faixa_odd
Rotherham;Hull;A;E1;H;3.1;perdida;-100.0;(3.0, 3.5]
Swansea;Leeds;D;E1;H;3.2;perdida;-100.0;(3.0, 3.5]
Aston Villa;Brentford;D;E1;H;2.54;perdida;-100.0;(2.5, 3.0]
Blackburn;Reading;D;E1;H;1.72;perdida;-100.0;(1.5, 1.75]
Bolton;Birmingham;H;E1;H;3.1;ganha;210.0;(3.0, 3.5]
Norwich;Preston;H;E1;H;2.4;ganha;140.0;(2.25, 2.5]
Sheffield Weds;Millwall;H;E1;H;3.1;ganha;210.0;(3.0, 3.5]
Stoke;Wigan;A;E1;H;2.14;perdida;-100.0;(2.0, 2.25]
Middlesbrough;West Brom;H;E1;H;2.5;ganha;150.0;(2.25, 2.5]
Aston Villa;Reading;D;E1;H;1.61;perdida;-100.0;(1.5, 1.75]
Blackburn;Brentford;H;E1;H;2.9;ganha;190.0;(2.5, 3.0]
Bolton;Sheffield United;A;E1;H;3.9;perdida;-100.0;(3.5, 4.0]
Derby;Preston;H;E1;H;2.45;ganha;145.00000000000003;(2.25, 2.5]
Norwich;Leeds;A;E1;H;2.75;perdida;-100.0;(2.5, 3.0]
Nott'm Forest;Birmingham;D;E1;H;1.85;perdida;-100.0;(1.75, 2.0]
QPR;Wigan;H;E1;H;3.25;ganha;225.0;(3.0, 3.5]
Sheffield Weds;Ipswich;H;E1;H;2.5;ganha;150.0;(2.25, 2.5]
Stoke;Hull;H;E1;H;2.0;ganha;100.0;(1.75, 2.0]
Swansea;Bristol City;A;E1;H;2.25;perdida;-100.0;(2.0, 2.25]
Rotherham;Millwall;H;E1;H;3.6;ganha;260.0;(3.5, 4.0]
Leeds;Middlesbrough;D;E1;H;2.2;perdida;-100.0;(2.0, 2.25]
Birmingham;QPR;D;E1;H;2.0;perdida;-100.0;(1.75, 2.0]
Brentford;Nott'm Forest;H;E1;H;1.9;ganha;89.99999999999999;(1.75, 2.0]
Hull;Derby;A;E1;H;2.9;perdida;-100.0;(2.5, 3.0]
Millwall;Swansea;A;E1;H;2.2;perdida;-100.0;(2.0, 2.25]
Preston;Bolton;D;E1;H;1.6;perdida;-100.0;(1.5, 1.75]
Reading;Sheffield Weds;A;E1;H;2.37;perdida;-100.0;(2.25, 2.5]
Sheffield United;Aston Villa;H;E1;H;2.4;ganha;140.0;(2.25, 2.5]
